t_ms,x_px,y_px
2000,1650,657
2100,1636,665
2200,1621,668
2300,1609,668
2400,1595,673
2500,1579,676
2600,1564,676
2700,1546,682
2800,1536,682
2900,1521,686
3000,1506,687
3100,1492,694
3200,1471,675
3300,1461,694
3400,1439,680
3500,1429,701
3600,1423,696
3700,1392,659
3800,1378,704
3900,1355,631
4000,1340,702
4100,1308,661
4200,1303,705
4300,1293,713
4400,1295,704
4500,1297,703
4600,1292,698
4700,1279,702
4800,1266,705
4900,1249,701
5000,1228,704
5100,1213,697
5200,1204,707
5300,1182,704
5400,1157,710
5500,1135,720
5600,1115,722
5700,1100,710
5800,1088,714
5900,1074,716
9000,664,745
9100,652,743
9200,643,747
9300,631,742
9400,623,742
9500,617,738
9600,608,736
9700,594,733
9800,578,731
9900,568,733
10000,567,638
10100,543,738
10200,539,702
10300,530,742
10400,512,748
10500,493,702
10600,482,758
10700,468,755
10800,444,722
10900,422,753
11000,406,694
11100,390,761
11200,367,730
11300,346,759
11400,314,734
11500,304,761
11600,270,727
11700,263,756
11800,245,758
11900,226,756
12000,189,731
12100,193,760
12200,162,756
12300,132,752
12400,90,729
12500,85,744
12600,69,748
12700,65,748
12800,50,746
12900,29,741
13000,10,735
13100,5,728
13200,279,344
13300,235,341
13400,247,337
13500,248,347
13600,227,338
13700,232,348
13800,206,363
13900,196,351
14000,167,372
14100,5,557
14200,141,354
14300,136,354
14400,118,331
14500,116,319
