t_ms,x_px,y_px
2000,1650.0,657.0
2100,1636.0,665.0
2200,1621.0,668.0
2300,1609.0,668.0
2400,1595.0,673.0
2500,1579.0,676.0
2600,1564.0,676.0
2700,1546.0,682.0
2800,1536.0,682.0
2900,1521.0,686.0
3000,1506.0,687.0
3100,1492.0,694.0
3200,1471.0,675.0
3300,1461.0,694.0
3400,1439.0,680.0
3500,1429.0,701.0
3600,1423.0,696.0
3700,1392.0,659.0
3800,1378.0,704.0
3900,1355.0,631.0
4000,1340.0,702.0
4100,1308.0,661.0
4200,1303.0,705.0
4300,1293.0,713.0
4400,1295.0,704.0
4500,1297.0,703.0
4600,1292.0,698.0
4700,1279.0,702.0
4800,1266.0,705.0
4900,1249.0,701.0
5000,1228.0,704.0
5100,1213.0,697.0
5200,1204.0,707.0
5300,1182.0,704.0
5400,1157.0,710.0
5500,1135.0,720.0
5600,1115.0,722.0
5700,1100.0,710.0
5800,1088.0,714.0
5900,1074.0,716.0
6000,,
6100,,
6200,,
6300,,
6400,,
6500,,
6600,,
6700,,
6800,,
6900,,
7000,,
7100,,
7200,,
7300,,
7400,,
7500,,
7600,,
7700,,
7800,,
7900,,
8000,,
8100,,
8200,,
8300,,
8400,,
8500,,
8600,,
8700,,
8800,,
8900,,
9000,664.0,745.0
9100,652.0,743.0
9200,643.0,747.0
9300,631.0,742.0
9400,623.0,742.0
9500,617.0,738.0
9600,608.0,736.0
9700,594.0,733.0
9800,578.0,731.0
9900,568.0,733.0
10000,567.0,638.0
10100,543.0,738.0
10200,539.0,702.0
10300,530.0,742.0
10400,512.0,748.0
10500,493.0,702.0
10600,482.0,758.0
10700,468.0,755.0
10800,444.0,722.0
10900,422.0,753.0
11000,406.0,694.0
11100,390.0,761.0
11200,367.0,730.0
11300,346.0,759.0
11400,314.0,734.0
11500,304.0,761.0
11600,270.0,727.0
11700,263.0,756.0
11800,245.0,758.0
11900,226.0,756.0
12000,189.0,731.0
12100,193.0,760.0
12200,162.0,756.0
12300,132.0,752.0
12400,90.0,729.0
12500,85.0,744.0
12600,69.0,748.0
12700,65.0,748.0
12800,50.0,746.0
12900,29.0,741.0
13000,10.0,735.0
13100,5.0,728.0
13200,279.0,344.0
13300,235.0,341.0
13400,247.0,337.0
13500,248.0,347.0
13600,227.0,338.0
13700,232.0,348.0
13800,206.0,363.0
13900,196.0,351.0
14000,167.0,372.0
14100,5.0,557.0
14200,141.0,354.0
14300,136.0,354.0
14400,118.0,331.0
14500,116.0,319.0
